GeneSymbol,miRNA,mirDIPscore,r_values, p_values,false_discovery_rate
ZBTB18,hsa-miR-130b-3p,0.972258790021587,-0.191615736317545,1.3178945572479e-05,9.51594825519593e-05
ACVR2A,hsa-miR-16-5p,0.967446692620321,-0.110214317958089,0.0127572950574892,0.0275627035096091
VLDLR,hsa-miR-106b-5p,0.962959335116126,-0.20706516658601,2.4061971231424e-06,2.20884873951356e-05
SMAD7,hsa-miR-21-5p,0.961759489846776,-0.25706537790683,3.85301644793856e-09,7.07288902332252e-08
SEMA6D,hsa-miR-16-5p,0.960952499307881,-0.138755393792533,0.00168339798280681,0.00548410586899335
FAM76A,hsa-miR-34a-5p,0.960194424471726,-0.186037579353913,2.35802968068531e-05,0.000156228658491971
RUNX1T1,hsa-miR-16-5p,0.95968272652054,-0.126167035298251,0.00432170184693933,0.0117296972734655
EPHA4,hsa-miR-106b-5p,0.95956152609671,-0.116370193907465,0.00852586187275824,0.0201153432102973
ZEB2,hsa-miR-200a-3p,0.959255042135533,-0.162071175993899,0.000237450280060283,0.00109473239872442
ARHGAP12,hsa-miR-106b-5p,0.959114822171493,-0.1034479731949,0.0194535396000816,0.0381682996563717
DYNC1LI2,hsa-miR-106b-5p,0.958704741351886,-0.211924824758705,1.37115958402119e-06,1.34795302284592e-05
RMND5A,hsa-miR-138-5p,0.958124127870398,-0.184375123260904,2.79532745165321e-05,0.000180456291123127
TRIP11,hsa-miR-106b-5p,0.957246188985019,-0.225886076922925,2.52968344906269e-07,3.02706866925639e-06
PFN2,hsa-miR-106b-5p,0.957177531930993,-0.158455000814039,0.000327699820129064,0.00142810597831315
NEDD4,hsa-miR-30b-5p,0.957149357038205,-0.196128720390662,8.12939634266326e-06,6.29246817106507e-05
DLL1,hsa-miR-16-5p,0.956912365571275,-0.11644335248739,0.0084841885171386,0.0200325174829604
DUSP1,hsa-miR-200c-3p,0.956893766383318,-0.160572510095085,0.000271589349814276,0.00122274886145057
CTDSPL,hsa-miR-16-5p,0.95636293754516,-0.151751298294342,0.000584834657837831,0.00230107302887199
RAB22A,hsa-miR-204-5p,0.955856522329898,-0.230431223984815,1.42436141355734e-07,1.8109916251217e-06
WDR20,hsa-miR-130b-3p,0.955608592636468,-0.177729597334206,5.43639374925605e-05,0.000318008921723943
PPP2R2A,hsa-miR-106b-5p,0.955131648714001,-0.10987857154665,0.0130339405485598,0.0280204264020784
ARID4A,hsa-miR-106b-5p,0.953694478017208,-0.174507071622602,7.44202163733145e-05,0.000415413366683978
PDCD4,hsa-miR-21-5p,0.953635468054586,-0.258550343102415,3.11139152170384e-09,5.81840101770329e-08
TXNIP,hsa-miR-106b-5p,0.951833106861068,-0.144786654117601,0.00104170608207977,0.00371594531142123
RBM47,hsa-miR-25-3p,0.951456699606875,-0.142704672861968,0.00123198170895773,0.00425508998423818
RBL2,hsa-miR-106b-5p,0.950814251812368,-0.244882732570884,2.11672198811354e-08,3.28870979792408e-07
FBXL5,hsa-miR-106b-5p,0.950769260302249,-0.121225427810592,0.00612425138603536,0.015466025815279
TNKS2,hsa-miR-106b-5p,0.950606206192473,-0.131882936539498,0.00284439730876364,0.00838066616883312
NEDD4L,hsa-miR-106b-5p,0.950500464924041,-0.21704776756842,7.47046981553519e-07,7.88293507312709e-06
DESI2,hsa-miR-30b-5p,0.949410953804185,-0.188948807495634,1.74421351717488e-05,0.000121113297951689
NCOR2,hsa-miR-10a-5p,0.94900567291449,-0.100512471431812,0.023203161646529,0.0435706121319523
MAML1,hsa-miR-30b-5p,0.948703789955394,-0.15665095705325,0.000383854512370708,0.00162789945234713
CTDSPL,hsa-miR-181b-5p,0.947896456666982,-0.156899149560481,0.00037562979660875,0.00159734406708421
JAG1,hsa-miR-21-5p,0.94785495043206,-0.339897072790677,2.9421287053724e-15,1.37724620842758e-13
SIN3A,hsa-miR-138-5p,0.946991177181789,-0.182600427250144,3.34648087409139e-05,0.000211075547058933
FGF7,hsa-miR-16-5p,0.946693870204509,-0.0983443049838892,0.0263602121810613,0.0479965603641229
SNX2,hsa-miR-130b-3p,0.946479619998317,-0.284149578081219,6.29891879036708e-11,1.65850402347679e-09
PPP6C,hsa-miR-106b-5p,0.94637939081144,-0.314972698824674,3.29426154390869e-13,1.21909312352362e-11
SKI,hsa-miR-21-5p,0.946143535628305,-0.27728638362349,1.86564740767705e-10,4.46401857453446e-09
OTUD4,hsa-miR-130b-3p,0.94609669471197,-0.14981211781228,0.000688531044477848,0.00263831970191971
PPM1A,hsa-miR-16-5p,0.946005992041583,-0.106671012839966,0.0159551815348565,0.0327410227711415
AKAP1,hsa-miR-130b-3p,0.945934053550932,-0.191298219394385,1.36288928339821e-05,9.78839359026137e-05
KLF12,hsa-miR-200a-3p,0.945852979125165,-0.143938572312082,0.00111567937647321,0.00392855565393177
BCL2L2,hsa-miR-16-5p,0.944611844385899,-0.166549118091682,0.000157838574765507,0.000781403214986005
ZBTB18,hsa-miR-199a-3p,0.944584505640474,-0.178468374104927,5.0548186865692e-05,0.000299283093637939
N4BP1,hsa-miR-16-5p,0.944556250607057,-0.105836207501849,0.0168038371376315,0.0340890102305074
KAT2B,hsa-miR-106b-5p,0.94353111243474,-0.165044672056322,0.000181263336142466,0.000876700423712928
APBB2,hsa-miR-106b-5p,0.943497679492196,-0.177803974035622,5.39678067298754e-05,0.000316170410912706
DLL1,hsa-miR-130b-3p,0.943329873144344,-0.124375911252952,0.00491059347034256,0.0129909664589196
KLHL20,hsa-miR-30b-5p,0.943241322350086,-0.227385634450791,2.09576026695157e-07,2.55746674727813e-06
SEC23A,hsa-miR-30b-5p,0.942901441530559,-0.16038607473976,0.000276143412114778,0.001239688717945
BMPR2,hsa-miR-106b-5p,0.942072854097022,-0.222327612532498,3.93321449916236e-07,4.45976847524735e-06
RALBP1,hsa-miR-130b-3p,0.94189494650086,-0.182623337878883,3.33875146063316e-05,0.00021067974245188
HBP1,hsa-miR-106b-5p,0.941011806549237,-0.160323360499932,0.000277691304646448,0.00124557628241189
ZNF148,hsa-miR-106b-5p,0.939824406303369,-0.140506113839596,0.00146725564107179,0.0049145079621738
GALNT1,hsa-miR-30b-5p,0.939812519170404,-0.185039730822261,2.61200447412477e-05,0.000170214356392838
TSG101,hsa-miR-106b-5p,0.939800085141514,-0.231220786799921,1.28752941750779e-07,1.6548075287313e-06
TSHZ3,hsa-miR-200a-3p,0.939600295193723,-0.248773473785011,1.24046525715719e-08,2.03130251050471e-07
DDX6,hsa-miR-130b-3p,0.939074190359918,-0.152103799900423,0.000567618490355765,0.00224629803342359
VGLL4,hsa-miR-130b-3p,0.938936813597305,-0.163874815217174,0.000201690054394789,0.000958930139492855
TOB1,hsa-miR-25-3p,0.93873064861098,-0.121209831223282,0.00613087682946599,0.0154766877202392
NOTCH1,hsa-miR-34a-5p,0.938533290651325,-0.178028021221519,5.27909438837428e-05,0.000310153671323837
VLDLR,hsa-miR-135a-5p,0.937629005564949,-0.103408418102361,0.0195003278338646,0.0382342102378104
KDSR,hsa-miR-153-3p,0.937570363093289,-0.112744343179887,0.0108340338853667,0.0242809581977892
TMCC1,hsa-miR-30b-5p,0.937304434308825,-0.200908096176599,4.8144037869256e-06,4.01793921835372e-05
CFL2,hsa-miR-106b-5p,0.937165798225238,-0.161396899591824,0.000252280646343668,0.00115110935062307
MAP2K4,hsa-miR-141-3p,0.936816791160156,-0.170027045405415,0.000114104107119235,0.000593749996474489
MAP3K5,hsa-miR-106b-5p,0.936628141155998,-0.123421155346939,0.00525322803172314,0.0137096535588074
AKTIP,hsa-miR-106b-5p,0.936297532361233,-0.1617343789307,0.000244752926581127,0.00112232879433572
DLL1,hsa-miR-34a-5p,0.93628427569562,-0.206504069512755,2.56543522477471e-06,2.33799076489486e-05
FBXO28,hsa-miR-130b-3p,0.935744240836922,-0.149732026669283,0.000693159809481416,0.00265184807760207
BMPR2,hsa-miR-130b-3p,0.935238737442079,-0.204259748311085,3.30912515882164e-06,2.90915296705317e-05
LIMA1,hsa-miR-106b-5p,0.935224524239007,-0.214448528118755,1.01851866687653e-06,1.03227498845924e-05
NBEA,hsa-miR-106b-5p,0.934759791701647,-0.143724034880919,0.00113514463075541,0.00398402524902819
EIF4G2,hsa-miR-106b-5p,0.934757903163163,-0.25148895761018,8.49719447981229e-09,1.45046195686165e-07
EMSY,hsa-miR-106b-5p,0.934290180708781,-0.162584280894924,0.000226715617133071,0.00105463862650134
PRRG1,hsa-miR-106b-5p,0.933968965924311,-0.237166738519896,5.94790388577013e-08,8.28991389737376e-07
ZMYND11,hsa-miR-138-5p,0.933911578278694,-0.126579189225987,0.00419557124447089,0.0114576570184663
NR3C1,hsa-miR-204-5p,0.933852511549691,-0.114244155455422,0.00981941263725183,0.0224923872553489
ARHGAP12,hsa-miR-130b-3p,0.933818117655386,-0.122957426878837,0.00542729314963891,0.0140714047159627
PKIA,hsa-miR-106b-5p,0.933139994513377,-0.114727597653681,0.00951085190168656,0.021932972460798
PELI1,hsa-miR-21-5p,0.93299462876052,-0.111196657778856,0.0119774056722878,0.0262565450328134
FNDC3A,hsa-miR-106b-5p,0.932771235692669,-0.133644035516685,0.00249226660252332,0.00752997987100456
KPNA3,hsa-miR-200a-3p,0.932763191816907,-0.215411232394985,9.08452535765168e-07,9.35612227917535e-06
FMR1,hsa-miR-130b-3p,0.93272120822956,-0.121896996214877,0.00584499653350377,0.0149161523478774
CLCN5,hsa-miR-130b-3p,0.932252172356269,-0.267146976117662,8.78894595322935e-10,1.84677120677298e-08
MEX3B,hsa-miR-30b-5p,0.932138689426422,-0.137828452424055,0.00180931289993888,0.00581326254031417
PRDM4,hsa-miR-16-5p,0.932026362287527,-0.107816266900578,0.0148521590672923,0.0310134598752198
NCOA3,hsa-miR-106b-5p,0.931766412434066,-0.128830370080696,0.0035635659887808,0.0100460568675623
MAPRE1,hsa-miR-106b-5p,0.931583056838484,-0.163364173924108,0.000211265806370326,0.000995069585157715
ZBTB18,hsa-miR-199b-5p,0.93125952865584,-0.104382214810732,0.0183765372571884,0.0365388842538411
RRAGD,hsa-miR-106b-5p,0.931093223287252,-0.140419910710979,0.00147727091584526,0.00494234065450801
FGF7,hsa-miR-15a-5p,0.930732194671211,-0.107534311654053,0.0151173110876934,0.0314526716921868
RNF38,hsa-miR-130b-3p,0.930616032547575,-0.324266588057055,5.96528414946171e-14,2.41580605062101e-12
ZFYVE9,hsa-miR-130b-3p,0.930504831541906,-0.231774419253424,1.19924234738006e-07,1.55062101828993e-06
GNAI2,hsa-miR-30b-5p,0.930183803443711,-0.315521547722356,2.98294054195222e-13,1.11169273169996e-11
NFIB,hsa-miR-21-5p,0.930177999887121,-0.373090150925199,2.73853041238956e-18,1.76534031531665e-16
ACVR1,hsa-miR-30b-5p,0.930031681041217,-0.186422964851982,2.266360678434e-05,0.00015112274704711
TCF12,hsa-miR-204-5p,0.929567811277192,-0.155494742472138,0.000424428962751279,0.00176915975830474
RARB,hsa-miR-16-5p,0.929388294261129,-0.133235613637271,0.00257019037642435,0.00771793381223137
DUSP1,hsa-miR-200b-3p,0.929292130219995,-0.220468498468384,4.93896495868088e-07,5.47378664794426e-06
MOB4,hsa-miR-15a-5p,0.928965731939784,-0.101029775185958,0.0225001958370586,0.0425803401636955
ITGB8,hsa-miR-199a-3p,0.928958115629289,-0.159109609761247,0.000309292825610209,0.00136098905931997
PKD2,hsa-miR-106b-5p,0.928910064128128,-0.223185028771842,3.53875776025303e-07,4.06902971233856e-06
NPTN,hsa-miR-130b-3p,0.928810927204228,-0.173232529256044,8.41331494839843e-05,0.00046014611538555
WDR37,hsa-miR-106b-5p,0.928725755607881,-0.113991110091538,0.00998444060424533,0.0227947189292771
SPEN,hsa-miR-30b-5p,0.928524955786268,-0.119184820684305,0.00704777380085231,0.0172897004781951
WIPI2,hsa-miR-16-5p,0.928412848515218,-0.09759432904848,0.027535214833447,0.0496137988247888
SATB1,hsa-miR-21-5p,0.928031141866087,-0.231860231582608,1.18609172473632e-07,1.53670300494578e-06
CSDE1,hsa-miR-15a-5p,0.928019935468376,-0.105496703422758,0.0171601182055037,0.0346552849582936
NPEPPS,hsa-miR-181b-5p,0.927869459928896,-0.103333763521265,0.0195889010582225,0.0383624483887922
SEC23A,hsa-miR-200b-3p,0.92756446068132,-0.262326050584385,1.79576275661834e-09,3.52894386826307e-08
ZNFX1,hsa-miR-106b-5p,0.927354833193161,-0.184671262075606,2.71218388994456e-05,0.000175793818560765
PPP3R1,hsa-miR-30b-5p,0.927251505535869,-0.257487168171985,3.62650308878687e-09,6.68248457136646e-08
SIPA1L2,hsa-miR-16-5p,0.927187249299635,-0.121557269812499,0.00598479981834793,0.0151913110877711
PAPOLA,hsa-miR-106b-5p,0.927142174038646,-0.168914149610244,0.000126675627556648,0.000649084177125234
RECK,hsa-miR-16-5p,0.926688155506762,-0.143347236955013,0.0011700913627909,0.00408318587819143
