Name,Fold_Change,p_value
hsa-miR-30c-2-3p,2.3902784470759,2.39989342860813e-28
hsa-miR-15a-5p,0.404550572396594,2.91039099076101e-27
hsa-miR-210-3p,0.0800271396563959,3.06218716925232e-27
hsa-miR-200b-3p,3.33319896512401,8.20192931557239e-27
hsa-miR-28-3p,0.445090811988466,1.4699846256164e-24
hsa-miR-93-5p,0.434877827034196,3.83650904638072e-24
hsa-miR-106b-3p,0.297069577475912,3.01248716172445e-23
hsa-miR-2355-5p,0.321955554997341,4.59818940139611e-23
hsa-miR-330-5p,0.3510248140082,1.29534643807814e-21
hsa-miR-200a-5p,2.27797500115871,1.66410184833227e-21
hsa-miR-25-3p,0.461983945201655,3.19682468251216e-21
hsa-miR-16-5p,0.462867593072582,1.92550215291169e-20
hsa-miR-584-5p,0.249184996946928,2.52767426794228e-20
hsa-miR-576-5p,0.378061384099372,3.2801564736095e-20
hsa-miR-660-5p,2.85895045139001,2.11507055235923e-19
hsa-miR-206,14.6348539607401,3.28406936970083e-19
hsa-miR-193a-5p,0.393166333628868,3.41679257409625e-19
hsa-miR-21-5p,0.212909288789418,7.89523004306047e-19
hsa-miR-629-5p,0.285680389928218,1.94009391591711e-18
hsa-miR-199a-3p,2.27240191672182,2.37605793969294e-18
hsa-miR-199b-3p,2.27249887879286,2.4930771422506e-18
hsa-miR-362-5p,7.48311670290988,2.72890877363121e-18
hsa-miR-200a-3p,2.39558946029062,4.19923931217879e-18
hsa-miR-200b-5p,2.59662124546174,4.39341596621726e-18
hsa-miR-141-3p,30.6068875913434,6.24568025188332e-18
hsa-miR-200c-3p,25.003680357014,7.39171806867594e-18
hsa-miR-106b-5p,0.485332139709448,7.87374387049294e-18
hsa-miR-126-5p,0.466809569824543,1.60481620985195e-17
hsa-miR-181b-5p,0.354629265036675,2.56803989075047e-17
hsa-miR-181a-3p,0.44760480421665,2.79956297222293e-17
hsa-miR-374a-3p,0.49115659686929,3.22154183670563e-17
hsa-miR-199a-5p,2.72849272267091,1.2161216271552e-16
hsa-miR-500a-3p,2.75005968034847,2.28439480876526e-16
hsa-miR-629-3p,0.30885986324304,4.00861633618212e-16
hsa-miR-342-5p,0.324875545187448,4.465322129345e-16
hsa-miR-16-1-3p,0.348838261684017,5.72047983810373e-16
hsa-miR-4677-3p,0.369659769259599,9.62447791386302e-16
hsa-miR-532-5p,2.09955804912323,1.24732913461375e-15
hsa-miR-452-5p,0.198162932917452,1.68454259563897e-15
hsa-miR-181b-3p,0.423449821544917,2.54950452442408e-15
hsa-miR-141-5p,19.60551388474,2.98842601965855e-15
hsa-miR-181a-5p,0.47447791301544,5.14963604369032e-15
hsa-miR-874-3p,2.64140569472381,8.70077177728815e-15
hsa-miR-3613-5p,0.296346438004122,1.27844580049619e-14
hsa-miR-4772-3p,0.194306842418209,1.30320444534137e-14
hsa-miR-452-3p,0.186911349686476,1.35947405942684e-14
hsa-miR-3130-5p,0.288716263182947,1.41629732668415e-14
hsa-miR-501-3p,2.13763847516143,2.585673040149e-14
hsa-miR-340-3p,0.418523283322005,2.78184498133667e-14
hsa-miR-502-3p,2.06028923432591,3.41500317066288e-14
hsa-miR-342-3p,0.370171993311285,4.31745134745892e-14
hsa-miR-142-3p,0.215385970402692,1.45729118902924e-13
hsa-miR-1270,0.173475592421814,1.64954948686107e-13
hsa-miR-138-5p,7.34897840925093,1.79429884279745e-13
hsa-miR-10a-5p,2.23365783615452,2.45808290867625e-13
hsa-miR-129-1-3p,29.7343603165086,3.18601622640396e-13
hsa-miR-429,5.02695719644737,4.24233132331617e-13
hsa-miR-203b-3p,14.8288124398281,5.98738555071834e-13
hsa-miR-200c-5p,31.7044094030969,6.60462908704046e-13
hsa-miR-181b-2-3p,0.432475058785802,6.74458417062639e-13
hsa-miR-21-3p,0.310341572036389,6.84574872971714e-13
hsa-miR-136-5p,2.51530845281817,7.40382060273752e-13
hsa-miR-185-5p,0.464266729935385,8.15898682562023e-13
hsa-miR-196b-5p,0.315628350981012,9.24730067795099e-13
hsa-miR-193a-3p,0.475947117048153,1.0033507117661e-12
hsa-miR-1307-5p,0.230190194496442,1.5657800167541e-12
hsa-miR-532-3p,2.53272628843208,1.88209329882044e-12
hsa-miR-130b-5p,0.413144610839976,2.01189600351757e-12
hsa-miR-155-5p,0.0810489302360045,2.40917247499144e-12
hsa-miR-34a-5p,0.464699381351198,2.80211396436169e-12
hsa-miR-15b-3p,0.355729223497923,2.93105310054879e-12
hsa-miR-154-5p,3.92143180679731,3.60713917462646e-12
hsa-miR-660-3p,4.20717827530956,1.24724124570172e-11
hsa-miR-1271-5p,0.349133472837381,1.32085842901982e-11
hsa-miR-10a-3p,2.50838621604844,1.4522519164592e-11
hsa-miR-592,0.0900595380560739,1.50073297850642e-11
hsa-miR-340-5p,0.417165945092418,1.74926762530184e-11
hsa-miR-3127-5p,0.464812979575112,1.77387323455852e-11
hsa-miR-188-5p,2.94361441106283,2.03659129385101e-11
hsa-miR-590-5p,0.492611452952297,2.11286970159736e-11
hsa-miR-151b,0.43698341059282,2.16975048152054e-11
hsa-miR-3065-3p,2.89656424419759,2.19471040857814e-11
hsa-miR-24-1-5p,2.06359477223326,2.45964582609352e-11
hsa-miR-4662a-5p,2.18243559462942,3.53925511477625e-11
hsa-miR-142-5p,0.281583076894403,3.87627605015541e-11
hsa-miR-210-5p,0.145625946196143,5.46236917969139e-11
hsa-miR-7706,0.378173470668958,5.67464216590222e-11
hsa-miR-5000-3p,0.461336949258617,5.69570800125915e-11
hsa-miR-30b-3p,2.33811888457284,6.12527393712365e-11
hsa-miR-433-3p,4.21622714246965,6.36249535123843e-11
hsa-miR-590-3p,0.437716907650427,6.60485246623275e-11
hsa-miR-369-5p,9.37873359858834,6.76522675876e-11
hsa-miR-376a-5p,5.48366435896418,8.19631716157715e-11
hsa-miR-500b-5p,2.62112860521598,8.49518608790408e-11
hsa-miR-500a-5p,2.61411263604296,9.14844373512167e-11
hsa-miR-214-3p,3.28971952917613,9.93014010801917e-11
hsa-miR-214-5p,2.32597380268693,1.08586016530806e-10
hsa-miR-136-3p,2.61698411951879,1.50176116121208e-10
hsa-miR-501-5p,2.34342360615165,1.89073123871157e-10
hsa-miR-30b-5p,2.59081783197305,2.01602361945386e-10
hsa-miR-616-5p,0.315741314537903,2.19141340429952e-10
hsa-miR-224-3p,0.337101273274293,3.70228954234802e-10
hsa-miR-486-3p,0.218106635287504,4.50963077491197e-10
hsa-miR-127-3p,2.37667956630136,4.64251445630917e-10
hsa-miR-6509-5p,0.19836168103445,5.01522021556995e-10
hsa-miR-502-5p,3.17257164068036,5.26533209582617e-10
