GeneSymbol,miRNA,mirDIPscore,r_values, p_values,false_discovery_rate
C1orf21,hsa-miR-200a-3p,0.921644512438561,-0.116937102459563,0.00820765122418262,0.0366506705614963
NR5A2,hsa-miR-30b-5p,0.921554997421426,-0.131922947725243,0.00283591839097459,0.0157015858079309
ANKFY1,hsa-miR-106b-5p,0.920872114067501,-0.227452434138649,2.07820292254011e-07,4.76397483937159e-06
ZFP91,hsa-miR-106b-5p,0.920681664352055,-0.243332769387621,2.61231882874363e-08,7.44349081796162e-07
CHD9,hsa-miR-130b-3p,0.92043596989407,-0.183518663820242,3.04959670159381e-05,0.000365676048346045
USP33,hsa-miR-130b-3p,0.920085312909363,-0.169404206317751,0.000120987389259642,0.00117225587431714
TGFBR3,hsa-miR-16-5p,0.920080023101787,-0.1309227804486,0.00305491634141034,0.0166623169986262
CAPZA1,hsa-miR-30b-5p,0.919992071190815,-0.226131470088224,2.45318922341967e-07,5.53725668770134e-06
ZBTB5,hsa-miR-193a-3p,0.919623436811668,-0.214841130940375,9.72169102099929e-07,1.86281911168005e-05
STAG2,hsa-miR-21-5p,0.919453695215875,-0.24926975544301,1.15797472025636e-08,3.58385930343732e-07
ROCK2,hsa-miR-138-5p,0.91938730902023,-0.149346135149277,0.000715868804655658,0.00511486615791329
ZDHHC17,hsa-miR-34a-5p,0.919359993081427,-0.117698941798392,0.0077967256837757,0.0352088161671741
FAM13C,hsa-miR-106b-5p,0.919295023617889,-0.188152722940466,1.89498984987685e-05,0.000243918861466642
TLE4,hsa-miR-106b-5p,0.919126610780968,-0.139482176438941,0.0015903504473264,0.00983009116598489
MLLT10,hsa-miR-130b-3p,0.918790979303736,-0.139244365273102,0.00162026374882544,0.00998266677724417
CDK17,hsa-miR-200c-3p,0.918616775643015,-0.128973700925968,0.0035264139362366,0.0187052528004986
BNIP3L,hsa-miR-138-5p,0.918606921935528,-0.162731658039962,0.000223717341635037,0.00195915609866742
R3HDM1,hsa-miR-30b-5p,0.918510002100322,-0.141004687007583,0.00141054394610861,0.00892554347430639
AUTS2,hsa-miR-153-3p,0.918393032661349,-0.181416405842522,3.7698244039117e-05,0.000438743050251191
SATB2,hsa-miR-33a-5p,0.918321837607807,-0.207127476481371,2.3891090587796e-06,4.12074924010586e-05
KRIT1,hsa-miR-21-5p,0.918320527171456,-0.176601436060418,6.07197008216603e-05,0.000656603041241323
