Name,Fold_Change,p_value
hsa-mir-146a,2.06267220135365,3.11637367525935e-07
hsa-mir-16-2,2.1687406889008,4.08264044589438e-20
hsa-mir-204,0.409639902760776,3.04538126993063e-08
hsa-mir-138-1,0.133100173018392,1.51757594863966e-13
hsa-mir-199b,0.437824052481452,2.68745629518719e-18
hsa-mir-203b,0.0674278229998081,5.9855680832055e-13
hsa-mir-369,0.304734315820225,6.93196000472185e-09
